panel_id,cx,cy,hot_p90,hot_med,hot_max,hot_stable,nblob_med,big_med,valp95_med,spread_med,label
44,675,275,0.0,0.0,0.0096,0.025,0.0,0.0,140.0,0.0,
45,768,246,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,
46,855,219,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,
48,1005,172,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,
49,951,164,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,
50,878,187,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,
51,799,210,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,
54,664,332,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,
55,593,314,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,
57,474,285,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,
61,543,371,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,
62,435,405,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,
63,367,383,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,
64,305,361,0.0,0.0,0.0011,0.0,0.0,0.0,129.0,0.0,
65,249,342,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,
66,176,362,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,
68,292,407,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,
69,359,434,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,
70,267,466,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,
71,201,436,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,
73,85,386,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,
74,21,405,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,
76,109,468,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,
77,173,501,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,
78,25,345,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,
79,9,326,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,
80,138,323,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,
82,58,288,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,
83,36,270,0.0,0.0,0.0,0.0,0.0,0.0,122.7,0.0,
84,17,255,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,
85,5,246,0.0,0.0,0.0,0.0,0.0,0.0,174.7,0.0,
88,182,264,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,
91,292,241,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,
92,110,246,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,
94,46,222,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,
95,30,208,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,
96,220,225,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,
97,180,215,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,
98,143,205,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,
99,111,196,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,
101,472,229,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,
103,385,210,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,
104,347,203,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,
106,273,186,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,
107,236,178,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,
108,615,216,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,
110,522,198,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,
111,481,190,0.0,0.0,0.0,0.0,0.0,0.0,130.9,0.0,
112,443,184,0.0,0.0,0.0,0.0,0.0,0.0,132.4,0.0,
113,406,176,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,
114,369,168,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,
115,332,161,0.0,0.0,0.0,0.0,0.0,0.0,110.3,0.0,
116,704,195,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,
119,571,173,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,
120,534,166,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,
121,496,159,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,
122,458,152,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,
123,422,145,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,
124,787,173,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,
125,740,165,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,
126,696,159,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,
127,655,154,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,
128,619,148,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,
