panel_id,cx,cy,hot_p90,hot_med,hot_max,hot_stable,nblob_med,big_med,valp95_med,spread_med,label
71,201,436,0.7685,0.5678,0.7938,0.558,1.0,0.5468,205.5,0.381,
67,231,384,0.7136,0.0,0.7238,0.2,0.0,0.0,96.0,0.0,
33,1250,247,0.653,0.0,0.7341,0.475,0.0,0.0,104.0,0.0,
46,855,219,0.6216,0.5595,0.6369,0.583,1.0,0.5125,250.0,0.42,
68,292,407,0.6139,0.5303,0.6905,0.575,1.0,0.5017,243.5,0.366,
65,249,342,0.6088,0.4386,0.6213,0.558,1.0,0.3993,209.1,0.344,
61,543,371,0.5861,0.5243,0.6409,0.608,1.0,0.5006,254.0,0.371,
26,1109,311,0.5605,0.0,0.575,0.183,0.0,0.0,100.0,0.0,
25,1196,328,0.5443,0.0,0.5647,0.167,0.0,0.0,99.0,0.0,
29,1032,251,0.5443,0.3393,0.5936,0.55,1.0,0.3113,180.5,0.33,
15,1029,422,0.542,0.0514,0.6394,0.592,1.0,0.0095,131.0,0.336,
37,1242,205,0.5341,0.0,0.5487,0.2,0.0,0.0,105.0,0.0,
19,866,318,0.5207,0.1882,0.5798,0.525,1.0,0.1816,143.0,0.271,
109,568,206,0.5092,0.467,0.5265,0.6,1.0,0.4086,255.0,0.436,
17,834,374,0.4986,0.0092,0.6045,0.5,0.5,0.0061,109.0,0.109,
53,615,263,0.497,0.43,0.5243,0.575,1.0,0.3978,241.9,0.377,
59,412,332,0.4853,0.4503,0.576,0.608,1.0,0.425,254.5,0.375,
35,1107,223,0.485,0.3669,0.5426,0.675,1.0,0.3121,244.2,0.366,
5,540,468,0.4828,0.1208,0.5251,0.517,1.0,0.1504,127.5,0.238,
52,711,235,0.4794,0.4343,0.4985,0.592,1.0,0.3983,246.0,0.366,
111,481,190,0.4745,0.3814,0.524,0.583,1.0,0.3002,247.9,0.457,
8,798,560,0.4727,0.0,0.4987,0.358,0.0,0.0,88.0,0.0,
38,1267,220,0.469,0.0,0.6667,0.183,0.0,0.0,105.0,0.0,
51,799,210,0.4686,0.4084,0.4772,0.6,1.0,0.3452,255.0,0.392,
49,951,164,0.4508,0.0,0.4703,0.183,0.0,0.0,106.5,0.0,
