panel_id,cx,cy,hot_p90,hot_med,hot_max,hot_stable,nblob_med,big_med,valp95_med,spread_med,label
43,738,289,0.4502,0.3771,0.4563,0.558,1.0,0.3503,218.5,0.336,
28,955,281,0.4476,0.3,0.4717,0.533,1.0,0.2939,183.5,0.326,
117,657,186,0.4466,0.4188,0.4701,0.608,1.0,0.367,255.0,0.407,
31,1178,275,0.4384,0.0,0.4749,0.475,0.0,0.0,104.0,0.0,
4,342,536,0.438,0.0,0.5423,0.492,0.0,0.0,91.5,0.0,
134,774,140,0.4347,0.4113,0.4795,0.592,1.0,0.3363,248.2,0.395,
14,1144,450,0.4323,0.0,0.5374,0.133,0.0,0.0,94.0,0.0,
9,924,604,0.42,0.0,0.4563,0.167,0.0,0.0,86.0,0.0,
120,534,166,0.4142,0.3798,0.4292,0.6,1.0,0.294,255.0,0.418,
2,536,626,0.4011,0.0,0.4102,0.2,0.0,0.0,83.0,0.0,
103,385,210,0.4011,0.3186,0.4416,0.575,1.0,0.2468,231.2,0.409,
91,292,241,0.3825,0.2561,0.4071,0.558,1.0,0.2278,202.5,0.3,
63,367,383,0.3719,0.2727,0.4478,0.575,1.0,0.2479,213.3,0.287,
88,182,264,0.3554,0.1907,0.3671,0.533,1.0,0.167,176.0,0.271,
10,1048,515,0.353,0.0,0.3785,0.158,0.0,0.0,88.0,0.0,
101,472,229,0.3392,0.3107,0.3778,0.583,1.0,0.27,226.5,0.342,
32,1253,291,0.3067,0.0,0.3525,0.15,0.0,0.0,103.0,0.0,
42,832,257,0.2969,0.0,0.3034,0.175,0.0,0.0,105.0,0.0,
127,655,154,0.2587,0.2355,0.3182,0.6,1.0,0.1612,227.9,0.289,
81,91,305,0.2336,0.04,0.2522,0.508,1.0,0.0315,134.3,0.098,
7,716,530,0.1854,0.0326,0.2351,0.542,0.0,0.0,117.5,0.0,
66,176,362,0.1509,0.0563,0.166,0.533,1.0,0.0387,141.8,0.119,
69,359,434,0.1059,0.0164,0.1917,0.517,0.0,0.0,100.5,0.0,
73,85,386,0.0979,0.0,0.1318,0.458,0.0,0.0,106.0,0.0,
13,681,410,0.0607,0.0,0.0773,0.425,0.0,0.0,93.0,0.0,
76,109,468,0.0582,0.0022,0.0674,0.492,0.0,0.0,118.5,0.0,
62,435,405,0.046,0.0,0.107,0.4,0.0,0.0,95.0,0.0,
11,901,473,0.0391,0.0,0.0571,0.192,0.0,0.0,93.0,0.0,
128,619,148,0.037,0.0021,0.0472,0.467,0.0,0.0,113.0,0.0,
6,638,503,0.0306,0.001,0.0445,0.4,0.0,0.0,93.0,0.0,
16,928,397,0.0293,0.0,0.0417,0.167,0.0,0.0,97.0,0.0,
130,542,137,0.0232,0.0,0.0551,0.233,0.0,0.0,126.0,0.0,
64,305,361,0.0228,0.0,0.0283,0.15,0.0,0.0,99.0,0.0,
21,1031,353,0.021,0.0,0.032,0.142,0.0,0.0,97.0,0.0,
83,36,270,0.0124,0.0,0.0435,0.183,0.0,0.0,108.0,0.0,
12,778,438,0.0098,0.001,0.0283,0.2,0.0,0.0,99.0,0.0,
112,443,184,0.0061,0.0,0.0203,0.108,0.0,0.0,108.4,0.0,
3,435,578,0.0034,0.0,0.008,0.025,0.0,0.0,86.0,0.0,
1,630,675,0.0001,0.0,0.0006,0.0,0.0,0.0,83.0,0.0,
0,819,691,0.0,0.0,0.0001,0.0,0.0,0.0,100.0,0.0,
18,745,352,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,
20,946,335,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,
22,1123,373,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,
23,1231,397,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,
24,1256,347,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,
27,1028,297,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,
30,1102,263,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,
34,1177,234,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,
36,1171,196,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,
39,1062,179,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,
40,992,204,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,
41,916,229,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,
44,675,275,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,
45,768,246,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,
47,932,195,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,
48,1005,172,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,
50,878,187,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,
54,664,332,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,
55,593,314,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,
56,530,299,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,
57,474,285,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,
58,354,315,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,
60,475,351,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,
70,267,466,0.0,0.0,0.001,0.0,0.0,0.0,90.9,0.0,
72,140,410,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,
74,21,405,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,
75,43,438,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,
77,173,501,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,
78,25,345,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,
79,9,326,0.0,0.0,0.0,0.0,0.0,0.0,99.4,0.0,
80,138,323,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,
82,58,288,0.0,0.0,0.0,0.0,0.0,0.0,105.8,0.0,
84,17,255,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,
85,5,246,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,
86,275,295,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,
87,226,278,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,
89,389,268,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,
90,340,254,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,
92,110,246,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,
93,72,234,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,
94,46,222,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,
95,30,208,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,
96,220,225,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,
97,180,215,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,
98,143,205,0.0,0.0,0.0,0.0,0.0,0.0,110.4,0.0,
99,111,196,0.0,0.0,0.0,0.0,0.0,0.0,94.9,0.0,
100,519,240,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,
102,427,219,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,
104,347,203,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,
105,310,195,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,
106,273,186,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,
107,236,178,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,
108,615,216,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,
110,522,198,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,
113,406,176,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,
114,369,168,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,
115,332,161,0.0,0.0,0.0,0.0,0.0,0.0,97.3,0.0,
116,704,195,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,
118,610,179,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,
119,571,173,0.0,0.0,0.0,0.0,0.0,0.0,114.2,0.0,
121,496,159,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,
122,458,152,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,
123,422,145,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,
124,787,173,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,
125,740,165,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,
126,696,159,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,
129,580,142,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,
131,510,131,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,
132,863,152,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,
133,818,146,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,
135,732,135,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,
136,694,131,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,
137,658,126,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,
138,618,122,0.0,0.0,0.0,0.0,0.0,0.0,109.7,0.0,
139,585,116,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,
140,176,699,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,
141,59,642,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,
142,8,565,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,
