frame_idx,panel_id,n_px,mean,std,min,max,p10,p90,hot_ratio,delta_frame,frame_mean
0,0,11183,88.24,41.52,49,243,65.0,155.8,0.0919,-27.84,116.08
0,1,18360,83.06,22.62,58,227,71.0,98.0,0.0421,-33.01,116.08
0,2,18920,85.69,30.98,57,242,71.0,102.0,0.064,-30.38,116.08
0,3,16945,127.12,45.87,57,240,82.0,202.0,0.034,11.05,116.08
0,4,13240,84.93,20.68,62,226,75.0,93.0,0.0433,-31.14,116.08
0,5,9704,91.99,21.69,68,221,81.0,100.0,0.0544,-24.09,116.08
0,6,12390,121.21,38.32,64,232,81.0,187.0,0.0299,5.13,116.08
0,7,5643,91.81,31.65,63,245,76.0,125.0,0.0789,-24.27,116.08
0,8,15202,142.35,52.09,65,244,88.0,226.0,0.0,26.27,116.08
0,9,18698,123.4,43.88,65,238,81.0,199.0,0.0571,7.33,116.08
0,10,13750,97.68,22.18,73,226,87.0,109.0,0.0532,-18.4,116.08
0,11,12563,98.92,22.82,73,237,87.0,115.0,0.0509,-17.15,116.08
0,12,8473,98.76,15.59,75,236,90.0,104.0,0.0391,-17.32,116.08
0,13,6694,103.28,18.98,82,221,94.0,108.0,0.0505,-12.8,116.08
0,14,9550,151.44,49.32,77,245,94.0,227.0,0.0,35.37,116.08
0,15,7111,105.51,20.32,81,231,95.0,115.0,0.0525,-10.56,116.08
0,16,6346,116.79,24.04,85,217,96.0,158.5,0.0698,0.72,116.08
0,17,5683,109.06,22.63,79,223,97.0,124.0,0.0635,-7.02,116.08
0,18,5212,110.22,15.51,88,216,103.0,114.0,0.0447,-5.86,116.08
0,19,3987,122.59,25.28,93,208,107.0,170.0,0.0908,6.51,116.08
0,20,4273,112.98,9.77,92,196,108.0,117.0,0.0428,-3.1,116.08
0,21,4629,111.86,6.77,94,179,108.0,116.0,0.0397,-4.21,116.08
0,22,5278,112.9,5.93,97,155,108.0,117.0,0.0358,-3.17,116.08
0,23,6045,114.68,12.53,99,216,109.0,121.0,0.0422,-1.39,116.08
0,24,1725,124.7,16.01,112,223,118.0,130.0,0.0435,8.62,116.08
0,25,4421,120.74,10.72,104,215,115.0,126.0,0.0407,4.67,116.08
0,26,3784,118.36,10.51,101,215,113.0,122.0,0.0359,2.29,116.08
0,27,3213,125.4,24.73,96,215,109.0,167.0,0.0791,9.33,116.08
0,28,3307,123.05,20.0,102,205,114.0,150.0,0.0859,6.97,116.08
0,29,2597,125.29,15.31,107,200,118.0,134.0,0.0647,9.21,116.08
0,30,2601,124.51,13.48,103,183,117.0,141.0,0.0696,8.43,116.08
0,31,2817,159.14,40.61,101,240,116.0,223.0,0.0,43.07,116.08
0,32,2456,126.35,11.1,113,208,122.0,130.0,0.0338,10.28,116.08
0,33,2141,136.23,17.68,115,201,122.0,160.0,0.0612,20.16,116.08
0,34,2669,140.87,26.36,109,217,121.0,186.0,0.0648,24.79,116.08
0,35,2333,130.72,14.03,113,201,124.0,139.0,0.0737,14.64,116.08
0,36,2064,124.61,21.82,80,194,94.0,156.0,0.062,8.54,116.08
0,37,2108,123.24,22.15,77,193,92.0,141.3,0.055,7.16,116.08
0,38,350,139.02,17.51,118,200,127.0,171.0,0.0857,22.94,116.08
0,39,1977,127.47,21.83,72,199,96.0,151.0,0.0526,11.39,116.08
0,40,2056,133.97,13.46,114,200,128.0,151.0,0.0666,17.89,116.08
0,41,2251,125.78,13.0,109,206,120.0,134.0,0.0498,9.7,116.08
0,42,2707,124.74,16.4,107,207,117.0,134.0,0.065,8.66,116.08
0,43,3252,120.18,16.76,98,208,110.0,138.0,0.06,4.1,116.08
0,44,2747,117.15,12.97,99,207,111.0,122.0,0.043,1.07,116.08
0,45,2301,121.64,9.04,107,196,117.0,124.0,0.0335,5.57,116.08
0,46,2040,127.89,13.29,110,201,122.0,134.0,0.0544,11.82,116.08
0,47,1800,136.89,13.68,121,199,127.0,158.1,0.0583,20.81,116.08
0,48,1821,128.03,21.65,80,195,95.0,151.0,0.0472,11.95,116.08
0,49,1655,128.4,18.83,80,193,97.0,144.0,0.029,12.32,116.08
0,50,1662,136.75,13.18,118,193,129.0,152.0,0.0722,20.68,116.08
0,51,1767,126.71,6.25,116,185,123.0,130.0,0.0311,10.64,116.08
